v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4,label_binary,clean_text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",,,,0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,Ok lar... Joking wif u oni...,,,,0,ok lar joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,,1,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply
ham,U dun say so early hor... U c already then say...,,,,0,u dun say early hor u c already say
ham,"Nah I don't think he goes to usf, he lives around here though",,,,0,nah think goes usf lives around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",,,,1,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,,,,0,even brother like speak treat like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,,,,1,winner valued network customer selected receivea prize reward claim call claim code kl valid hours
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,,,,1,mobile months u r entitled update latest colour mobiles camera free call mobile update co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",,,,0,gon na home soon want talk stuff anymore tonight k cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,,1,six chances win cash pounds txt csh send cost p day days tsandcs apply reply hl info
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,,1,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,,,,0,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,,,,0,date sunday
